SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
050,09,009,00000,00000,00000,0,N,New Haven County,Connecticut,862477,862462,863618,864725,865335,864558,864073,861594,859973,860435
157,09,009,01150,00000,00000,0,A,Ansonia city,Connecticut,19249,19251,19254,19227,19221,19100,19052,18949,18850,18813
157,09,009,19480,00000,00000,0,A,Derby city,Connecticut,12902,12900,12906,12869,12875,12855,12814,12652,12602,12581
157,09,009,46450,00000,00000,0,A,Meriden city,Connecticut,60868,60855,60879,60792,60756,60649,60509,60207,59898,59927
157,09,009,47515,00000,00000,0,F,Milford city (balance),Connecticut,51271,51271,51325,51438,51607,51775,52061,52235,52685,52970
157,09,009,49880,00000,00000,0,A,Naugatuck borough,Connecticut,31862,31884,31893,31863,31862,31833,31768,31638,31502,31461
157,09,009,52000,00000,00000,0,A,New Haven city,Connecticut,129779,129890,129853,130982,131247,131181,130797,130616,130768,131014
157,09,009,80000,00000,00000,0,A,Waterbury city,Connecticut,110366,110332,110403,110207,110139,109980,109708,109190,108750,108629
157,09,009,82800,00000,00000,0,A,West Haven city,Connecticut,55564,55564,55584,55563,55331,55240,55367,54967,54774,54843
157,09,009,88050,00000,00000,0,A,Woodmont borough,Connecticut,1488,1488,1490,1492,1497,1502,1511,1515,1531,1538
157,09,009,99990,00000,00000,0,F,Balance of New Haven County,Connecticut,389128,389027,390031,390292,390800,390443,390486,389625,388613,388659
061,09,009,00000,01220,00000,0,C,Ansonia town,Connecticut,19249,19251,19254,19227,19221,19100,19052,18949,18850,18813
071,09,009,01150,01220,00000,1,A,Ansonia city,Connecticut,19249,19251,19254,19227,19221,19100,19052,18949,18850,18813
061,09,009,00000,03250,00000,1,A,Beacon Falls town,Connecticut,6049,6044,6060,6071,6075,6072,6081,6106,6125,6168
061,09,009,00000,04580,00000,1,A,Bethany town,Connecticut,5563,5563,5567,5562,5559,5555,5545,5520,5500,5497
061,09,009,00000,07310,00000,1,A,Branford town,Connecticut,28026,28026,28040,28042,28063,28059,28305,28208,28111,28111
061,09,009,00000,14160,00000,1,A,Cheshire town,Connecticut,29261,29258,29285,29318,29373,29185,29267,29304,29309,29330
061,09,009,00000,19550,00000,0,C,Derby town,Connecticut,12902,12900,12906,12869,12875,12855,12814,12652,12602,12581
071,09,009,19480,19550,00000,1,A,Derby city,Connecticut,12902,12900,12906,12869,12875,12855,12814,12652,12602,12581
061,09,009,00000,22910,00000,1,A,East Haven town,Connecticut,29257,29209,29222,29183,29203,29164,29112,28994,28895,28857
061,09,009,00000,34950,00000,1,A,Guilford town,Connecticut,22375,22375,22389,22399,22430,22436,22453,22377,22298,22283
061,09,009,00000,35650,00000,1,A,Hamden town,Connecticut,60960,60887,61639,61693,61873,61758,61599,61554,61322,61284
061,09,009,00000,44560,00000,1,A,Madison town,Connecticut,18269,18269,18283,18289,18320,18307,18301,18239,18181,18196
061,09,009,00000,46520,00000,0,C,Meriden town,Connecticut,60868,60855,60879,60792,60756,60649,60509,60207,59898,59927
071,09,009,46450,46520,00000,1,A,Meriden city,Connecticut,60868,60855,60879,60792,60756,60649,60509,60207,59898,59927
061,09,009,00000,46940,00000,1,A,Middlebury town,Connecticut,7575,7575,7580,7584,7590,7589,7611,7654,7673,7725
061,09,009,00000,47535,00000,0,C,Milford town,Connecticut,52759,52759,52815,52930,53104,53277,53572,53750,54216,54508
071,09,009,47515,47535,00000,1,F,Milford city (balance),Connecticut,51271,51271,51325,51438,51607,51775,52061,52235,52685,52970
071,09,009,88050,47535,00000,1,A,Woodmont borough,Connecticut,1488,1488,1490,1492,1497,1502,1511,1515,1531,1538
061,09,009,00000,49950,00000,0,C,Naugatuck town,Connecticut,31862,31884,31893,31863,31862,31833,31768,31638,31502,31461
071,09,009,49880,49950,00000,1,A,Naugatuck borough,Connecticut,31862,31884,31893,31863,31862,31833,31768,31638,31502,31461
061,09,009,00000,52070,00000,0,C,New Haven town,Connecticut,129779,129890,129853,130982,131247,131181,130797,130616,130768,131014
071,09,009,52000,52070,00000,1,A,New Haven city,Connecticut,129779,129890,129853,130982,131247,131181,130797,130616,130768,131014
061,09,009,00000,53890,00000,1,A,North Branford town,Connecticut,14407,14407,14411,14398,14399,14372,14341,14278,14209,14208
061,09,009,00000,54870,00000,1,A,North Haven town,Connecticut,24093,24088,24093,24068,23993,23994,23965,23882,23773,23751
061,09,009,00000,57600,00000,1,A,Orange town,Connecticut,13956,13956,13965,13962,13968,13980,13985,13976,13961,13997
061,09,009,00000,58300,00000,1,A,Oxford town,Connecticut,12683,12690,12713,12806,12834,12882,12933,13023,12999,13035
061,09,009,00000,62290,00000,1,A,Prospect town,Connecticut,9405,9423,9447,9547,9661,9705,9727,9737,9759,9797
061,09,009,00000,67610,00000,1,A,Seymour town,Connecticut,16540,16533,16545,16565,16596,16600,16593,16513,16610,16583
061,09,009,00000,69640,00000,1,A,Southbury town,Connecticut,19904,19904,19914,19875,19847,19790,19789,19684,19582,19571
061,09,009,00000,78740,00000,1,A,Wallingford town,Connecticut,45135,45135,45169,45205,45261,45270,45193,44983,44774,44741
061,09,009,00000,80070,00000,0,C,Waterbury town,Connecticut,110366,110332,110403,110207,110139,109980,109708,109190,108750,108629
071,09,009,80000,80070,00000,1,A,Waterbury city,Connecticut,110366,110332,110403,110207,110139,109980,109708,109190,108750,108629
061,09,009,00000,82870,00000,0,C,West Haven town,Connecticut,55564,55564,55584,55563,55331,55240,55367,54967,54774,54843
